id,value,color
pontish,,red
pontish.i am one with god,,red
pontish.i am one with god.i am one with the universe one with the world,,red
pontish.i am one with god.i am god on earth and so is everyone else,,red
pontish.i am one with god.i am gods child,,red
pontish.i am one with god.i matter,,red
pontish.i am one with god.i matter.i make a difference,,red
pontish.i am one with god.i am one with god,,red
pontish.i am one with god.i am one with god.i am one with the universe,,red
pontish.i am one with god.i am one with god.i am one with everyone and everything,,red
pontish.i am one with god.god is word,,red
pontish.i am one with god.god is word.i am word i am god,,red
pontish.i am one with god.god is word.thats a gift given to everyone,,red
pontish.i am one with god.gifting yourself is the ultimate intent,,red
pontish.i am one with god.make a difference,,red
pontish.i am one with god.make a difference.go all the way out,,red
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility,,red
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life,,red
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.maximize on every moment,,red
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.live life fully expressed,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.learning is the source of joy,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.maximize on every moment,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.something has to change,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.i have to produce a change,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.invent new things all the time,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.trust my gut,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.i cant stand boredom,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.i have to produce a change,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.its the mutuality of it,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.youve got to get over something,,orange
pontish.i am one with god.make a difference.go all the way out.go for the biggest possibility.make the most out of life.make an extreme difference.my thinking encompasses everyone,,orange
pontish.i am one with god.god is word.i am word i am god.all is one one is all,,orange
pontish.i am one with god.god is word.i am word i am god.all is one one is all.we are all one,,orange
pontish.i am one with god.god is word.i am word i am god.all is one one is all.we are all one.we are all possibility,,orange
